data_year,period,period_label,is_comparable_fy,metric,dim_type,dim_value_canon,dim_value_raw,scope,unit,value,report_id,report_year,is_provisional,confidence,source_file,page
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,agritech,Agritech,all,count,1.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,agritech,Agritech,all,count,5.0,2024,2024,FALSE,high,2024.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,agritech,Agritech,all,count,15.0,2024,2024,FALSE,high,2024.pdf,13
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,agritech,Agritech,all,count,9.0,2024,2024,FALSE,high,2024.pdf,13
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,agritech,Agritech,all,count,10.0,2024,2024,FALSE,high,2024.pdf,13
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,agritech,Agritech,all,count,29.0,2024,2024,TRUE,high,2024.pdf,13
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,13.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,15.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,25.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,50.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,43.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,69.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,116.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,108.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,artificial_intelligence,Artificial intelligence,all,count,33.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,2.0,2018,2018,TRUE,high,2018.pdf,8
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,4.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,5.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,10.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,8.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,8.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,76.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,25.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,biotech,Biotech,all,count,6.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,blockchain,Blockchain,all,count,6.0,2021,2021,TRUE,high,2021.pdf,9
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,climatetech,Climatetech,all,count,7.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,climatetech,Climatetech,all,count,8.0,2023,2023,FALSE,high,2023.pdf,15
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,climatetech,Climatetech,all,count,8.0,2023,2023,FALSE,high,2023.pdf,15
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,climatetech,Climatetech,all,count,21.0,2023,2023,FALSE,high,2023.pdf,15
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,climatetech,Climatetech,all,count,22.0,2023,2023,FALSE,high,2023.pdf,15
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,climatetech,Climatetech,all,count,25.0,2023,2023,TRUE,high,2023.pdf,15
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,12.0,2023,2023,FALSE,high,2023.pdf,15
