data_year,period,period_label,metric,dim_value_canon,scope,unit,from_report_id,from_value,to_report_id,to_value,delta,delta_pct,is_latest_step,n_vintages
2018,FY,2018,funding_by_vertical_size,artificial_intelligence,all,usd,2018,600000.0,2023,9500000.0,8.9e+06,1483.33,TRUE,2
2018,FY,2018,funding_by_vertical_count,artificial_intelligence,all,count,2018,5.0,2023,13.0,8,160.00,TRUE,2
2018,FY,2018,funding_by_vertical_count,internet_of_things,all,count,2018,5.0,2023,10.0,5,100.00,TRUE,2
2020,FY,2020,funding_by_vertical_size,grocery_delivery,all,usd,2020,10000000.0,2023,0.0,-1e+07,-100.00,FALSE,3
2021,FY,2021,funding_by_vertical_size,gaming,all,usd,2021,265000000.0,2023,520000000.0,2.55e+08,96.23,FALSE,6
2020,FY,2020,funding_by_vertical_size,gaming,all,usd,2020,8000000.0,2023,14700000.0,6.7e+06,83.75,FALSE,4
2018,FY,2018,funding_by_vertical_count,fintech,all,count,2018,10.0,2023,18.0,8,80.00,TRUE,2
2025,FY,2025,funding_by_vertical_count,healthtech,all,count,2025,29.0,2026q2,51.0,22,75.86,TRUE,2
2022,FY,2022,funding_by_vertical_size,gaming,all,usd,2022,362000000.0,2023,108300000.0,-2.537e+08,-70.08,FALSE,6
2018,FY,2018,funding_by_vertical_count,saas,all,count,2018,10.0,2023,17.0,7,70.00,TRUE,2
2020,FY,2020,funding_by_vertical_count,ecommerce,all,count,2020,7.0,2023,11.0,4,57.14,TRUE,2
2020,FY,2020,funding_by_vertical_size,marketplace,all,usd,2020,3000000.0,2025,4700000.0,1.7e+06,56.67,TRUE,2
2020,FY,2020,funding_by_vertical_count,fintech,all,count,2020,16.0,2023,25.0,9,56.25,FALSE,4
2024,FY,2024,funding_by_vertical_count,artificial_intelligence,all,count,2024,75.0,2025,115.0,40,53.33,FALSE,3
2020,FY,2020,funding_by_vertical_count,gaming,all,count,2020,12.0,2023,18.0,6,50.00,FALSE,4
2020,FY,2020,funding_by_vertical_count,marketingtech,all,count,2020,4.0,2025,6.0,2,50.00,TRUE,2
2025,FY,2025,funding_by_vertical_count,sustainability,all,count,2025,10.0,2026q2,15.0,5,50.00,TRUE,2
2019,FY,2019,funding_by_vertical_size,fintech,all,usd,2019,8400000.0,2023,4300000.0,-4.1e+06,-48.81,FALSE,3
2025,FY,2025,funding_by_vertical_count,biotech,all,count,2025,17.0,2026q2,25.0,8,47.06,TRUE,2
2018,FY,2018,funding_by_vertical_size,restaurant,all,usd,2018,1500000.0,2023,2200000.0,700000,46.67,TRUE,2
2024,FY,2024,funding_by_vertical_count,biotech,all,count,2024,52.0,2025,76.0,24,46.15,FALSE,3
2020,FY,2020,funding_by_vertical_size,artificial_intelligence,all,usd,2024,43300000.0,2025,63200000.0,1.99e+07,45.96,TRUE,4
2020,FY,2020,funding_by_vertical_count,saas,all,count,2020,25.0,2023,36.0,11,44.00,FALSE,4
2024,FY,2024,funding_by_vertical_count,healthtech,all,count,2024,42.0,2025,60.0,18,42.86,FALSE,3
2024,FY,2024,funding_by_vertical_count,sustainability,all,count,2024,28.0,2025,40.0,12,42.86,FALSE,3
2021,FY,2021,funding_by_vertical_count,fintech,all,count,2021,29.0,2023,40.0,11,37.93,FALSE,5
2019,FY,2019,funding_by_vertical_count,artificial_intelligence,all,count,2019,11.0,2023,15.0,4,36.36,FALSE,3
2020,FY,2020,funding_by_vertical_size,gaming,all,usd,2023,14700000.0,2024,20000000.0,5.3e+06,36.05,FALSE,4
2020,FY,2020,funding_by_vertical_count,artificial_intelligence,all,count,2020,14.0,2023,19.0,5,35.71,FALSE,4
2020,FY,2020,funding_by_vertical_size,ecommerce,all,usd,2020,6000000.0,2023,8000000.0,2e+06,33.33,TRUE,2
2020,FY,2020,funding_by_vertical_size,retailtech,all,usd,2020,6000000.0,2023,8000000.0,2e+06,33.33,TRUE,2
2022,FY,2022,funding_by_vertical_count,marketingtech,all,count,2022,9.0,2025,12.0,3,33.33,TRUE,2
2024,FY,2024,funding_by_vertical_count,gaming,all,count,2024,21.0,2025,28.0,7,33.33,FALSE,3
2025,FY,2025,funding_by_vertical_count,artificial_intelligence,all,count,2025,81.0,2026q2,108.0,27,33.33,TRUE,2
2020,FY,2020,funding_by_vertical_count,artificial_intelligence,all,count,2024,19.0,2025,25.0,6,31.58,TRUE,4
2020,FY,2020,funding_by_vertical_count,deeptech,all,count,2020,13.0,2023,17.0,4,30.77,FALSE,3
2019,FY,2019,funding_by_vertical_size,saas,all,usd,2019,8300000.000000001,2023,5800000.0,-2.5e+06,-30.12,FALSE,3
2020,FY,2020,funding_by_vertical_size,fintech,all,usd,2020,20000000.0,2023,25900000.0,5.9e+06,29.50,FALSE,4
2024,FY,2024,funding_by_vertical_count,energy,all,count,2024,21.0,2025,27.0,6,28.57,FALSE,3
2025,FY,2025,total_deal_count,,all,count,2025,306.0,2026q2,388.0,82,26.80,TRUE,2
2023,FY,2023,funding_by_vertical_count,artificial_intelligence,all,count,2023,47.0,2024,59.0,12,25.53,FALSE,4
2024,FY,2024,total_deal_count,,all,count,2024,469.0,2025,588.0,119,25.37,FALSE,3
2021,FY,2021,funding_by_vertical_size,artificial_intelligence,all,usd,2024,20500000.0,2025,25700000.0,5.2e+06,25.37,FALSE,6
2019,FY,2019,funding_by_vertical_count,internet_of_things,all,count,2023,4.0,2024,3.0,-1,-25.00,TRUE,2
2022,FY,2022,funding_by_vertical_count,artificial_intelligence,all,count,2023,31.0,2024,38.0,7,22.58,FALSE,5
2019,FY,2019,funding_by_vertical_count,saas,all,count,2019,14.0,2023,17.0,3,21.43,FALSE,3
2023,FY,2023,funding_by_vertical_count,fintech,all,count,2023,33.0,2024,40.0,7,21.21,FALSE,4
2024,FY,2024,funding_by_vertical_count,saas,all,count,2024,33.0,2025,40.0,7,21.21,FALSE,3
2021,FY,2021,funding_by_vertical_count,artificial_intelligence,all,count,2024,41.0,2025,49.0,8,19.51,FALSE,5
2022,FY,2022,funding_by_vertical_count,artificial_intelligence,all,count,2022,26.0,2023,31.0,5,19.23,FALSE,5
2020,FY,2020,funding_by_vertical_size,deeptech,all,usd,2020,7000000.0,2025,8300000.000000001,1.3e+06,18.57,TRUE,2
2025,FY,2025,funding_by_vertical_size,marketingtech,all,usd,2025,13800000.0,2026q1,16300000.0,2.5e+06,18.12,FALSE,3
2025,FY,2025,funding_by_vertical_size,saas,all,usd,2025,15200000.0,2026q1,17800000.0,2.6e+06,17.11,FALSE,3
2025,FY,2025,funding_by_vertical_count,saas,all,count,2025,24.0,2026q2,28.0,4,16.67,TRUE,2
2025,FY,2025,funding_by_vertical_count,gaming,all,count,2025,32.0,2026q2,37.0,5,15.62,TRUE,2
2021,FY,2021,funding_by_vertical_size,marketingtech,all,usd,2024,2700000.0,2025,3100000.0,400000,14.81,FALSE,4
2023,FY,2023,funding_by_vertical_size,artificial_intelligence,all,usd,2025,43400000.0,2026q1,49800000.0,6.4e+06,14.75,FALSE,5
2023,FY,2023,funding_by_vertical_count,gaming,all,count,2023,41.0,2024,47.0,6,14.63,FALSE,4
