data_year,period,report_id,report_year,metric,dim_type,dim_value_raw,dim_value_canon,scope,unit,value,source_file,page,confidence,is_provisional
2010,FY,2024,2024,total_deal_size,none,,,all,usd,20000000.0,2024.pdf,4,high,FALSE
2011,FY,2024,2024,total_deal_size,none,,,all,usd,60000000.0,2024.pdf,4,high,FALSE
2012,FY,2024,2024,total_deal_size,none,,,all,usd,33000000.0,2024.pdf,4,high,FALSE
2013,FY,2024,2024,total_deal_size,none,,,all,usd,79000000.0,2024.pdf,4,high,FALSE
2014,FY,2024,2024,total_deal_size,none,,,all,usd,37000000.0,2024.pdf,4,high,FALSE
2015,FY,2024,2024,total_deal_size,none,,,all,usd,70000000.0,2024.pdf,4,high,FALSE
2016,FY,2024,2024,total_deal_size,none,,,all,usd,58000000.0,2024.pdf,4,high,FALSE
2017,FY,2024,2024,total_deal_size,none,,,all,usd,116000000.0,2024.pdf,4,high,FALSE
2018,FY,2024,2024,total_deal_size,none,,,all,usd,84000000.0,2024.pdf,4,high,FALSE
2019,FY,2024,2024,total_deal_size,none,,,all,usd,103000000.0,2024.pdf,4,high,FALSE
2020,FY,2024,2024,total_deal_size,none,,,all,usd,155000000.0,2024.pdf,4,high,FALSE
2021,FY,2024,2024,total_deal_size,none,,,all,usd,1900000000.0,2024.pdf,4,high,FALSE
2022,FY,2024,2024,total_deal_size,none,,,all,usd,1400000000.0,2024.pdf,4,high,FALSE
2023,FY,2024,2024,total_deal_size,none,,,all,usd,736000000.0,2024.pdf,4,high,FALSE
2024,FY,2024,2024,total_deal_size,none,,,all,usd,1100000000.0,2024.pdf,4,high,TRUE
2010,FY,2024,2024,total_deal_count,none,,,all,count,13.0,2024.pdf,4,high,FALSE
2011,FY,2024,2024,total_deal_count,none,,,all,count,28.0,2024.pdf,4,high,FALSE
2012,FY,2024,2024,total_deal_count,none,,,all,count,31.0,2024.pdf,4,high,FALSE
2013,FY,2024,2024,total_deal_count,none,,,all,count,77.0,2024.pdf,4,high,FALSE
2014,FY,2024,2024,total_deal_count,none,,,all,count,67.0,2024.pdf,4,high,FALSE
2015,FY,2024,2024,total_deal_count,none,,,all,count,100.0,2024.pdf,4,high,FALSE
2016,FY,2024,2024,total_deal_count,none,,,all,count,156.0,2024.pdf,4,high,FALSE
2017,FY,2024,2024,total_deal_count,none,,,all,count,186.0,2024.pdf,4,high,FALSE
2018,FY,2024,2024,total_deal_count,none,,,all,count,139.0,2024.pdf,4,high,FALSE
2019,FY,2024,2024,total_deal_count,none,,,all,count,132.0,2024.pdf,4,high,FALSE
2020,FY,2024,2024,total_deal_count,none,,,all,count,215.0,2024.pdf,4,high,FALSE
2021,FY,2024,2024,total_deal_count,none,,,all,count,343.0,2024.pdf,4,high,FALSE
2022,FY,2024,2024,total_deal_count,none,,,all,count,354.0,2024.pdf,4,high,FALSE
2023,FY,2024,2024,total_deal_count,none,,,all,count,358.0,2024.pdf,4,high,FALSE
2024,FY,2024,2024,total_deal_count,none,,,all,count,469.0,2024.pdf,4,high,TRUE
2019,FY,2024,2024,total_deal_size,none,,,ex_getir_bigg,usd,65000000.0,2024.pdf,5,high,FALSE
2020,FY,2024,2024,total_deal_size,none,,,ex_getir_bigg,usd,155000000.0,2024.pdf,5,high,FALSE
2021,FY,2024,2024,total_deal_size,none,,,ex_getir_bigg,usd,912000000.0,2024.pdf,5,high,FALSE
2022,FY,2024,2024,total_deal_size,none,,,ex_getir_bigg,usd,591000000.0,2024.pdf,5,high,FALSE
2023,FY,2024,2024,total_deal_size,none,,,ex_getir_bigg,usd,236000000.0,2024.pdf,5,high,FALSE
2024,FY,2024,2024,total_deal_size,none,,,ex_getir_bigg,usd,804000000.0,2024.pdf,5,high,TRUE
2019,FY,2024,2024,total_deal_count,none,,,ex_getir_bigg,count,131.0,2024.pdf,5,high,FALSE
2020,FY,2024,2024,total_deal_count,none,,,ex_getir_bigg,count,215.0,2024.pdf,5,high,FALSE
2021,FY,2024,2024,total_deal_count,none,,,ex_getir_bigg,count,340.0,2024.pdf,5,high,FALSE
2022,FY,2024,2024,total_deal_count,none,,,ex_getir_bigg,count,353.0,2024.pdf,5,high,FALSE
2023,FY,2024,2024,total_deal_count,none,,,ex_getir_bigg,count,357.0,2024.pdf,5,high,FALSE
2024,FY,2024,2024,total_deal_count,none,,,ex_getir_bigg,count,237.0,2024.pdf,5,high,TRUE
2015,FY,2025,2025,total_deal_size,none,,,all,usd,70000000.0,2025.pdf,5,high,FALSE
2016,FY,2025,2025,total_deal_size,none,,,all,usd,58000000.0,2025.pdf,5,high,FALSE
2017,FY,2025,2025,total_deal_size,none,,,all,usd,116000000.0,2025.pdf,5,high,FALSE
2018,FY,2025,2025,total_deal_size,none,,,all,usd,84000000.0,2025.pdf,5,high,FALSE
2019,FY,2025,2025,total_deal_size,none,,,all,usd,103000000.0,2025.pdf,5,high,FALSE
2020,FY,2025,2025,total_deal_size,none,,,all,usd,155000000.0,2025.pdf,5,high,FALSE
2021,FY,2025,2025,total_deal_size,none,,,all,usd,1900000000.0,2025.pdf,5,high,FALSE
2022,FY,2025,2025,total_deal_size,none,,,all,usd,1400000000.0,2025.pdf,5,high,FALSE
2023,FY,2025,2025,total_deal_size,none,,,all,usd,737000000.0,2025.pdf,5,high,FALSE
2024,FY,2025,2025,total_deal_size,none,,,all,usd,1100000000.0,2025.pdf,5,high,FALSE
2025,FY,2025,2025,total_deal_size,none,,,all,usd,589000000.0,2025.pdf,5,high,TRUE
2015,FY,2025,2025,total_deal_count,none,,,all,count,100.0,2025.pdf,5,high,FALSE
2016,FY,2025,2025,total_deal_count,none,,,all,count,156.0,2025.pdf,5,high,FALSE
2017,FY,2025,2025,total_deal_count,none,,,all,count,185.0,2025.pdf,5,high,FALSE
2018,FY,2025,2025,total_deal_count,none,,,all,count,138.0,2025.pdf,5,high,FALSE
2019,FY,2025,2025,total_deal_count,none,,,all,count,132.0,2025.pdf,5,high,FALSE
2020,FY,2025,2025,total_deal_count,none,,,all,count,215.0,2025.pdf,5,high,FALSE
2021,FY,2025,2025,total_deal_count,none,,,all,count,344.0,2025.pdf,5,high,FALSE
2022,FY,2025,2025,total_deal_count,none,,,all,count,356.0,2025.pdf,5,high,FALSE
2023,FY,2025,2025,total_deal_count,none,,,all,count,365.0,2025.pdf,5,high,FALSE
2024,FY,2025,2025,total_deal_count,none,,,all,count,588.0,2025.pdf,5,high,FALSE
2025,FY,2025,2025,total_deal_count,none,,,all,count,306.0,2025.pdf,5,high,TRUE
2015,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,70000000.0,2025.pdf,5,high,FALSE
2016,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,58000000.0,2025.pdf,5,high,FALSE
2017,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,116000000.0,2025.pdf,5,high,FALSE
2018,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,83000000.0,2025.pdf,5,high,FALSE
2019,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,65000000.0,2025.pdf,5,high,FALSE
2020,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,155000000.0,2025.pdf,5,high,FALSE
2021,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,883000000.0,2025.pdf,5,high,FALSE
