data_year,report_id,metric,dim_value_canon,scope,facts_value,verify_value,durum,not
2010,2024,total_deal_size,,all,20000000.0,,UNREADABLE,görsel okuma kaydı yok
2011,2024,total_deal_size,,all,60000000.0,,UNREADABLE,görsel okuma kaydı yok
2012,2024,total_deal_size,,all,33000000.0,,UNREADABLE,görsel okuma kaydı yok
2013,2024,total_deal_size,,all,79000000.0,,UNREADABLE,görsel okuma kaydı yok
2014,2024,total_deal_size,,all,37000000.0,,UNREADABLE,görsel okuma kaydı yok
2015,2024,total_deal_size,,all,70000000.0,,UNREADABLE,görsel okuma kaydı yok
2016,2024,total_deal_size,,all,58000000.0,,UNREADABLE,görsel okuma kaydı yok
2017,2024,total_deal_size,,all,116000000.0,,UNREADABLE,görsel okuma kaydı yok
2018,2024,total_deal_size,,all,84000000.0,,UNREADABLE,görsel okuma kaydı yok
2019,2024,total_deal_size,,all,103000000.0,,UNREADABLE,görsel okuma kaydı yok
2020,2024,total_deal_size,,all,155000000.0,,UNREADABLE,görsel okuma kaydı yok
2021,2024,total_deal_size,,all,1900000000.0,,UNREADABLE,görsel okuma kaydı yok
2022,2024,total_deal_size,,all,1400000000.0,,UNREADABLE,görsel okuma kaydı yok
2023,2024,total_deal_size,,all,736000000.0,,UNREADABLE,görsel okuma kaydı yok
2024,2024,total_deal_size,,all,1100000000.0,,UNREADABLE,görsel okuma kaydı yok
2010,2024,total_deal_count,,all,13.0,,UNREADABLE,görsel okuma kaydı yok
2011,2024,total_deal_count,,all,28.0,,UNREADABLE,görsel okuma kaydı yok
2012,2024,total_deal_count,,all,31.0,,UNREADABLE,görsel okuma kaydı yok
2013,2024,total_deal_count,,all,77.0,,UNREADABLE,görsel okuma kaydı yok
2014,2024,total_deal_count,,all,67.0,,UNREADABLE,görsel okuma kaydı yok
2015,2024,total_deal_count,,all,100.0,,UNREADABLE,görsel okuma kaydı yok
2016,2024,total_deal_count,,all,156.0,,UNREADABLE,görsel okuma kaydı yok
2017,2024,total_deal_count,,all,186.0,,UNREADABLE,görsel okuma kaydı yok
2018,2024,total_deal_count,,all,139.0,,UNREADABLE,görsel okuma kaydı yok
2019,2024,total_deal_count,,all,132.0,,UNREADABLE,görsel okuma kaydı yok
2020,2024,total_deal_count,,all,215.0,,UNREADABLE,görsel okuma kaydı yok
2021,2024,total_deal_count,,all,343.0,,UNREADABLE,görsel okuma kaydı yok
2022,2024,total_deal_count,,all,354.0,,UNREADABLE,görsel okuma kaydı yok
2023,2024,total_deal_count,,all,358.0,,UNREADABLE,görsel okuma kaydı yok
2024,2024,total_deal_count,,all,469.0,,UNREADABLE,görsel okuma kaydı yok
2019,2024,total_deal_size,,ex_getir_bigg,65000000.0,,UNREADABLE,görsel okuma kaydı yok
2020,2024,total_deal_size,,ex_getir_bigg,155000000.0,,UNREADABLE,görsel okuma kaydı yok
2021,2024,total_deal_size,,ex_getir_bigg,912000000.0,,UNREADABLE,görsel okuma kaydı yok
2022,2024,total_deal_size,,ex_getir_bigg,591000000.0,,UNREADABLE,görsel okuma kaydı yok
2023,2024,total_deal_size,,ex_getir_bigg,236000000.0,,UNREADABLE,görsel okuma kaydı yok
2024,2024,total_deal_size,,ex_getir_bigg,804000000.0,,UNREADABLE,görsel okuma kaydı yok
2019,2024,total_deal_count,,ex_getir_bigg,131.0,,UNREADABLE,görsel okuma kaydı yok
2020,2024,total_deal_count,,ex_getir_bigg,215.0,,UNREADABLE,görsel okuma kaydı yok
2021,2024,total_deal_count,,ex_getir_bigg,340.0,,UNREADABLE,görsel okuma kaydı yok
2022,2024,total_deal_count,,ex_getir_bigg,353.0,,UNREADABLE,görsel okuma kaydı yok
2023,2024,total_deal_count,,ex_getir_bigg,357.0,,UNREADABLE,görsel okuma kaydı yok
2024,2024,total_deal_count,,ex_getir_bigg,237.0,,UNREADABLE,görsel okuma kaydı yok
2015,2025,total_deal_size,,all,70000000.0,,UNREADABLE,görsel okuma kaydı yok
2016,2025,total_deal_size,,all,58000000.0,,UNREADABLE,görsel okuma kaydı yok
2017,2025,total_deal_size,,all,116000000.0,,UNREADABLE,görsel okuma kaydı yok
2018,2025,total_deal_size,,all,84000000.0,,UNREADABLE,görsel okuma kaydı yok
2019,2025,total_deal_size,,all,103000000.0,,UNREADABLE,görsel okuma kaydı yok
2020,2025,total_deal_size,,all,155000000.0,,UNREADABLE,görsel okuma kaydı yok
2021,2025,total_deal_size,,all,1900000000.0,,UNREADABLE,görsel okuma kaydı yok
2022,2025,total_deal_size,,all,1400000000.0,,UNREADABLE,görsel okuma kaydı yok
2023,2025,total_deal_size,,all,737000000.0,,UNREADABLE,görsel okuma kaydı yok
2024,2025,total_deal_size,,all,1100000000.0,,UNREADABLE,görsel okuma kaydı yok
2025,2025,total_deal_size,,all,589000000.0,,UNREADABLE,görsel okuma kaydı yok
2015,2025,total_deal_count,,all,100.0,,UNREADABLE,görsel okuma kaydı yok
2016,2025,total_deal_count,,all,156.0,,UNREADABLE,görsel okuma kaydı yok
2017,2025,total_deal_count,,all,185.0,,UNREADABLE,görsel okuma kaydı yok
2018,2025,total_deal_count,,all,138.0,,UNREADABLE,görsel okuma kaydı yok
2019,2025,total_deal_count,,all,132.0,,UNREADABLE,görsel okuma kaydı yok
2020,2025,total_deal_count,,all,215.0,,UNREADABLE,görsel okuma kaydı yok
2021,2025,total_deal_count,,all,344.0,,UNREADABLE,görsel okuma kaydı yok
2022,2025,total_deal_count,,all,356.0,,UNREADABLE,görsel okuma kaydı yok
2023,2025,total_deal_count,,all,365.0,,UNREADABLE,görsel okuma kaydı yok
2024,2025,total_deal_count,,all,588.0,,UNREADABLE,görsel okuma kaydı yok
2025,2025,total_deal_count,,all,306.0,,UNREADABLE,görsel okuma kaydı yok
2015,2025,total_deal_size,,ex_getir_bigg,70000000.0,,UNREADABLE,görsel okuma kaydı yok
2016,2025,total_deal_size,,ex_getir_bigg,58000000.0,,UNREADABLE,görsel okuma kaydı yok
2017,2025,total_deal_size,,ex_getir_bigg,116000000.0,,UNREADABLE,görsel okuma kaydı yok
2018,2025,total_deal_size,,ex_getir_bigg,83000000.0,,UNREADABLE,görsel okuma kaydı yok
2019,2025,total_deal_size,,ex_getir_bigg,65000000.0,,UNREADABLE,görsel okuma kaydı yok
2020,2025,total_deal_size,,ex_getir_bigg,155000000.0,,UNREADABLE,görsel okuma kaydı yok
2021,2025,total_deal_size,,ex_getir_bigg,883000000.0,,UNREADABLE,görsel okuma kaydı yok
2022,2025,total_deal_size,,ex_getir_bigg,593000000.0,,UNREADABLE,görsel okuma kaydı yok
2023,2025,total_deal_size,,ex_getir_bigg,237000000.0,,UNREADABLE,görsel okuma kaydı yok
2024,2025,total_deal_size,,ex_getir_bigg,814000000.0,,UNREADABLE,görsel okuma kaydı yok
2025,2025,total_deal_size,,ex_getir_bigg,586000000.0,,UNREADABLE,görsel okuma kaydı yok
2015,2025,total_deal_count,,ex_getir_bigg,99.0,,UNREADABLE,görsel okuma kaydı yok
2016,2025,total_deal_count,,ex_getir_bigg,156.0,,UNREADABLE,görsel okuma kaydı yok
2017,2025,total_deal_count,,ex_getir_bigg,185.0,,UNREADABLE,görsel okuma kaydı yok
2018,2025,total_deal_count,,ex_getir_bigg,137.0,,UNREADABLE,görsel okuma kaydı yok
2019,2025,total_deal_count,,ex_getir_bigg,131.0,,UNREADABLE,görsel okuma kaydı yok
